row.names	sample01	sample02	sample03	sample04	sample05	sample06	sample07	sample08	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72
31341_at	3.321928095	7.584962501	3.321928095	3.321928095	3.321928095	6.108524457	3.321928095	3.321928095	3.321928095	10.03617361	3.321928095	3.321928095	4.857980995	9.245552706	3.321928095	3.321928095	3.321928095	3.321928095	7.584962501	3.321928095	3.321928095	3.321928095	8.087462841	6.06608919	3.321928095	6.209453366	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	5.392317423	7.247927513	3.321928095	5.459431619	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	9.851749041	8.103287808	3.321928095	7.426264755	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	9.105908509	7.442943496	3.321928095	3.321928095	3.321928095	5.044394119	3.321928095	3.321928095	3.321928095	3.321928095	8.139551352	4.087462841	9.057991723	3.321928095	7.95419631	3.321928095
31362_at	4.529820947	4	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	7	3.321928095	3.321928095	5.977279923	8.06608919	4.906890596	6.266786541	3.321928095	3.321928095	6.108524457	3.321928095	3.321928095	7.285402219	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	7.960001932	5.977279923	3.321928095	3.321928095	3.321928095	3.321928095	5.554588852	7.607330314	8.813781191	6.741466986	8.710806434	3.321928095	3.321928095	8.936637939	3.321928095	3.321928095	3.321928095	3.321928095	8.238404739	3.321928095	8.189824559	5.459431619	3.321928095	3.321928095	5.832890014	8.28077077	9.008428622	3.321928095	8.939579214	5.321928095	3.321928095	8.430452552	9.813781191	6.22881869	6.569855608	9.06608919	9.076815597	3.321928095	3.321928095	3.321928095	6.129283017	3.321928095	7.392317423	8.640244936
31387_at	7.723831566	3.321928095	7.044394119	3.321928095	8.965784285	8.303780748	6.442943496	6.807354922	3.321928095	3.321928095	3.321928095	3.321928095	6.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	8.124121312	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	8.611024797	6.882643049	3.321928095	3.321928095	3.321928095	5.087462841	3.321928095	5.64385619	3.321928095	7.21916852	3.321928095	3.321928095	3.321928095	6.672425342	7.74819285	3.321928095	3.321928095	8.710806434	3.321928095	6.569855608	7.266786541	8.103287808	8.724513853	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	6.321928095	9.86727874	6.845490051	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	5.95419631	3.321928095	8.951284715	3.321928095	9.167418146	3.321928095	8.17990909	3.321928095
31404_at	3.321928095	3.321928095	3.321928095	7.409390936	3.321928095	3.321928095	3.321928095	9.37721053	8.317412614	8.717676423	8.495855027	3.321928095	3.321928095	9.584962501	3.321928095	8.62935662	3.321928095	8.011227255	7.832890014	8.209453366	3.321928095	8.764871591	8.668884984	3.321928095	8.942514505	8.64385619	9.479780264	8.700439718	4.95419631	3.321928095	9.245552706	8.118941073	8.632995197	8.252665432	3.321928095	8.124121312	3.321928095	9.357552005	3.321928095	9.471675214	9.651051691	8.710806434	8.463524373	3.321928095	9.992938336	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	7.417852515	8.721099189	3.321928095	8.951284715	8.842350343	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	8.73470962	3.321928095	9.479780264	10.10983065	9.169925001	3.321928095	3.321928095	8.214319121
31414_at	5.87036472	7.900866808	3.321928095	6.392317423	3.321928095	8.74819285	3.321928095	7.994353437	6.108524457	5.807354922	3.321928095	3.321928095	3.321928095	9.118941073	8.54303182	8.73470962	9.990103964	8.447083226	3.321928095	3.321928095	7.266786541	3.321928095	3.321928095	7.409390936	3.321928095	7.686500527	7.741466986	6.022367813	8.861086906	6.303780748	6.988684687	7.87036472	7.54689446	3.321928095	7.584962501	7.098032083	7.499845887	3.700439718	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	8.74819285	7.95419631	3.321928095	6.988684687	6.50779464	6.491853096	8.535275377	3.321928095	6.285402219	5.672425342	7.475733431	9.364134655	9.403012024	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	8.900866808	3.321928095	9.197216693	3.321928095	3.321928095	7.636624621	3.321928095	9.121533517	3.321928095
31416_at	7.627898616	7.257387843	5.584962501	3.321928095	3.321928095	7.14974712	7.209453366	7.864186145	3.321928095	3.321928095	3.321928095	5.832890014	8.375039431	6.700439718	3.321928095	3.321928095	3.321928095	6.754887502	6.727920455	3.321928095	8.055282436	8.357552005	6.965784285	3.321928095	7.515699838	7.77478706	8.098032083	3.321928095	3.321928095	3.321928095	3.321928095	7.276124405	3.807354922	8.511752654	6.686500527	7.930737338	6.209453366	3.321928095	8.092757141	6.672425342	4.247927513	3.321928095	8.124121312	8.159871337	8.845490051	4.392317423	8.73809226	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	7.707359132	8.577428828	8.614709844	3.321928095	8.581200582	7.707359132	3.321928095	8.257387843	3.321928095	3.321928095	3.321928095	3.321928095	6.459431619	8.495855027	3.321928095	8.194756854	8.214319121	3.321928095	8.936637939	6.459431619
31419_r_at	6.385431037	3.321928095	10.04575966	3.321928095	3.321928095	3.321928095	8.491853096	9.409390936	3.321928095	3.321928095	7.622051819	3.321928095	8.661778098	3.321928095	10.37395266	9.851749041	3.321928095	3.321928095	3.321928095	3.321928095	9.019590728	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	9.656424863	8.535275377	10.67595703	3.321928095	9.799281622	3.321928095	9.197216693	3.321928095	8.396604781	9.503825738	6.700439718	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	6.044394119	3.321928095	7.442943496	6.169925001	3.321928095	11.37612539	9.539158811	3.321928095	3.321928095	4.64385619	3.321928095	10.6329952	9.025139562	8.033423002	10.9505559	10.16364968	3.321928095	3.321928095	3.321928095	9.850186838	10.31061278	10.509775	9.68474862	3.321928095	3.321928095	3.321928095
31423_at	7.038918989	6.523561956	8.584962501	7.95419631	3.321928095	3.321928095	7.011227255	7.033423002	3.321928095	3.321928095	3.321928095	6.918863237	3.321928095	3.321928095	8.86727874	6.768184325	7.569855608	3.321928095	5.614709844	7.17990909	7.768184325	6.882643049	5.807354922	3.321928095	7.665335917	8.076815597	6.794415866	7.8008999	5.129283017	7.409390936	3.321928095	5.614709844	7.807354922	7.189824559	3.321928095	7.686500527	8.233619677	3.321928095	3.321928095	6.930737338	3.321928095	3.321928095	3.321928095	7.74819285	3.321928095	3.321928095	3.321928095	3.321928095	7.577428828	7.266786541	3.321928095	7.826548487	5.727920455	3.321928095	3.321928095	3.321928095	7.118941073	3.321928095	9.612868497	3.321928095	3.321928095	8.118941073	3.321928095	7.74819285	6.087462841	3.321928095	7.139551352	7.50779464	3.321928095	3.321928095	3.321928095	5.95419631
31433_at	4.472487771	3.321928095	5.392317423	3.321928095	3.321928095	4.584962501	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	5.584962501	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	4.247927513	3.321928095	5.832890014	8.011227255	3.321928095	3.321928095	3.807354922	7.022367813	7.876516947	3.321928095	3.321928095	6.06608919	3.321928095	8.169925001	3.321928095	6.22881869	7.636624621	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	7.044394119	6.754887502	4.95419631	6.14974712	7.483815777	3.321928095	5.700439718	7.924812504	7.22881869	6.129283017	3.321928095	7.238404739	8.303780748	8.62935662	7.982993575	7.022367813	9.326429487	8.483815777	5.087462841	8.194756854	3.321928095	3.321928095	3.321928095	7.392317423	3.906890596	8.379378367
31436_s_at	3.321928095	3.321928095	7.8008999	3.321928095	7.813781191	3.321928095	5.357552005	6.741466986	6.894817763	3.321928095	3.321928095	3.807354922	7.781359714	7.882643049	8.569855608	6.108524457	3.321928095	8.17990909	6.857980995	7.876516947	3.584962501	3.321928095	3.584962501	3.321928095	3.321928095	5.357552005	8.73809226	3.321928095	3.321928095	3.321928095	3.321928095	8.266786541	8.005624549	5.392317423	3.321928095	9.328674927	3.321928095	3.321928095	8.73809226	6.714245518	7.139551352	5.584962501	8.933690655	9.453270634	7.54689446	8.77148947	7.321928095	3.321928095	9.681238412	3.321928095	3.321928095	3.321928095	6.918863237	3.321928095	3.321928095	4.95419631	4.906890596	8.28077077	7.303780748	3.321928095	4.247927513	5.087462841	6.672425342	3.321928095	3.321928095	6.942514505	7.577428828	8.64385619	6	8.550746785	3.321928095	6.375039431
31441_at	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	9.259743264	6.491853096	3.321928095	3.321928095	8.558420713	9.515699838	8.353146825	3.321928095	9.675957033	9.552669098	3.321928095	9.413627929	3.321928095	8.503825738	6.14974712	9.060695932	3.321928095	3.321928095	8.361943774	6.169925001	10.29001885	11.38046107	7.721099189	3.321928095	3.321928095	10.28886607	7.409390936	11.98406237	7.321928095	3.321928095	9.233619677	3.321928095	7.971543554	3.321928095	9.661778098	9.092757141	6.894817763	3.321928095	10.38478375	10.05120894	3.321928095	3.321928095	3.321928095	8.396604781	9.566054038	11.27903014	3.321928095
31446_s_at	7.77148947	8.174925683	3.321928095	3.321928095	3.321928095	9	7.087462841	3.321928095	3.321928095	3.321928095	3.321928095	4.321928095	6.339850003	6.375039431	3.321928095	3.321928095	3.321928095	3.321928095	6.339850003	7.787902559	7.918863237	7.539158811	8.044394119	3.321928095	6.22881869	3.321928095	7.199672345	3.321928095	3.321928095	3.321928095	3.321928095	6.442943496	4.754887502	7.375039431	7.417852515	3.321928095	3.321928095	3.321928095	6.686500527	7.839203788	8.531381461	3.321928095	3.321928095	8.184875343	3.321928095	7.523561956	8.129283017	3.321928095	3.321928095	3.321928095	3.321928095	6.475733431	7.607330314	3.321928095	3.321928095	5.357552005	7.169925001	5.285402219	3.321928095	7.348728154	3.321928095	6.832890014	7.665335917	6.303780748	6.108524457	5.584962501	8.294620749	5.491853096	7.475733431	3.321928095	7.539158811	3.321928095
31448_s_at	9.213347282	8.271463028	6.845490051	5.129283017	9.271463028	7.199672345	8.596189756	7.531381461	3.321928095	6.044394119	8.588714636	3.321928095	7.539158811	3.321928095	5.906890596	3.321928095	3.321928095	5.129283017	3.321928095	6.22881869	7.599912842	3.321928095	9.177419538	3.321928095	3.321928095	3.321928095	7.483815777	4.392317423	3.321928095	3.321928095	4.807354922	3.321928095	4.700439718	3.321928095	5.321928095	3.321928095	5.95419631	3.321928095	8.055282436	3.321928095	10.91363743	3.321928095	6.741466986	5.781359714	4	8.6794801	3.321928095	5.044394119	3.321928095	3.321928095	4.700439718	3.321928095	3.321928095	3.321928095	6.554588852	3.321928095	3.321928095	7.098032083	3.321928095	7.400879436	3.321928095	3.321928095	7.636624621	8.787902559	7.189824559	3.321928095	3.321928095	3.321928095	5.614709844	3.321928095	8.686500527	3.321928095
31457_at	8.955359305	3.321928095	8.903881846	8.076815597	3.321928095	3.321928095	9.052568051	8.562242424	6.820178962	3.321928095	7.087462841	3.700439718	3.321928095	9.025139562	6.22881869	6.714245518	3.321928095	7.321928095	8.21916852	3.321928095	3.321928095	10.38478375	8.103287808	3.321928095	9.041659152	8.54689446	8.011227255	8.45532722	7.417852515	7.584962501	5.64385619	5.357552005	9.388017285	7.960001932	3.321928095	8.511752654	8.344295908	5.857980995	3.321928095	10.10852446	7.727920455	3.321928095	3.321928095	3.321928095	3.321928095	6.942514505	3.321928095	3.321928095	3.321928095	3.321928095	6.539158811	3.321928095	7.988684687	8.686500527	7.73470962	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	8.661778098	3.321928095	7.77478706	3.321928095	8.370687407	3.321928095	7.554588852	7.876516947	5.832890014	7.276124405	6.794415866	3.321928095
31495_at	3.321928095	6.247927513	6.22881869	3.321928095	7.159871337	6.14974712	6.321928095	6.247927513	3.321928095	6.614709844	3.321928095	7.50779464	8.897845456	3.321928095	3.321928095	5.357552005	3.321928095	3.321928095	6.285402219	3.321928095	7.21916852	8.087462841	3.321928095	7.076815597	3.321928095	3.321928095	7.22881869	6.266786541	3.321928095	4.807354922	8.727920455	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	8.060695932	4.857980995	3.321928095	6.599912842	3.321928095	6.375039431	3.321928095	3.321928095	6.686500527	11.62388149	3.321928095	8.54689446	5.64385619	3.321928095	5.700439718	3.321928095	5.357552005	3.321928095	11.4604559	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.807354922	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	8.348728154	3.321928095	3.321928095	5.832890014	3.321928095
31496_g_at	3.321928095	5.754887502	3.321928095	7.139551352	3.321928095	3.321928095	3.321928095	8.339850003	4.523561956	8.266786541	6.599912842	5.321928095	8.312882955	3.321928095	3.321928095	7.948367232	7.417852515	3.321928095	8.108524457	3.321928095	3.321928095	9.703903573	3.321928095	6.087462841	3.321928095	4.857980995	7.129283017	7.426264755	7.21916852	6.087462841	6.686500527	5.857980995	7.515699838	3.321928095	8.038918989	7.554588852	3.321928095	8.447083226	3.321928095	3.321928095	3.321928095	7.971543554	7.14974712	3.321928095	7.266786541	5.169925001	13.12395971	7.924812504	7.50779464	7.033423002	7.693486957	3.321928095	6.64385619	3.321928095	6.022367813	3.321928095	5.554588852	6.807354922	7.022367813	3.321928095	3.321928095	3.321928095	8.108524457	8.991521846	4.087462841	9.306061689	3.321928095	4.459431619	7.247927513	3.321928095	7.06608919	3.321928095
31499_s_at	3.321928095	6.247927513	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	6.06608919	6.569855608	3.321928095	3.321928095	3.321928095	10.99010396	3.321928095	7.577428828	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	7.658211483	9.571752644	7.599912842	4.700439718	5.426264755	3.321928095	3.321928095	8.348728154	3.321928095	3.321928095	8.388017285	5.459431619	6.977279923	7.95419631	6.375039431	9.93516505	7.475733431	5.882643049	5.584962501	7.794415866	6.209453366	6.832890014	10.83130724	3.321928095	3.321928095	7.754887502	10.73978061	6.22881869	9.182394353	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	6.303780748	6.539158811	3.321928095	8.751544059	3.321928095	3.321928095	3.321928095	7.924812504	4.64385619	8.988684687	6.832890014	3.321928095	3.321928095	8.257387843	3.321928095	3.321928095	3.321928095
31512_at	3.608809243	7.727920455	5.754887502	3.321928095	3.321928095	8.005624549	7.592457037	3.321928095	3.321928095	3.321928095	3.321928095	5.882643049	3.321928095	8.312882955	6.209453366	6.62935662	3.321928095	7.918863237	3.321928095	9.681238412	3.321928095	8.654636029	3.321928095	3.321928095	5.930737338	6.06608919	7.531381461	7.483815777	3.321928095	3.321928095	3.321928095	3.321928095	6.794415866	3.321928095	3.321928095	3.700439718	8.357552005	4.906890596	3.321928095	8.113742166	8.22881869	8.317412614	9.355351096	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	7.741466986	3.321928095	3.321928095	5.832890014	5.321928095	3.321928095	3.321928095	8.375039431	7.348728154	8.957102042	3.321928095	3.321928095	8.754887502	3.321928095	8.164906927	3.321928095	3.321928095	8.214319121	8.982993575	8.519636253	7.400879436	8.438791853	9	11.41679753
31530_at	3.321928095	6.266786541	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	5.285402219	3.321928095	3.321928095	3.321928095	3.321928095	8.951284715	3.321928095	3.321928095	8.675957033	6.339850003	3.321928095	3.321928095	7.882643049	8.326429487	3.321928095	6.129283017	7.21916852	3.321928095	3.321928095	7.948367232	7.50779464	3.321928095	3.321928095	4.95419631	4.087462841	3.321928095	3.321928095	3.321928095	3.321928095	7.714245518	3.321928095	7.714245518	3.321928095	7.807354922	3.321928095	3.321928095	8.247927513	7.721099189	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	6.459431619	3.321928095	9.257387843	8.689997971	7.64385619	3.321928095	3.321928095	6.442943496	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	7.73470962	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095
31548_at	8.290479698	3.321928095	3.321928095	7.330916878	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	8.290018847	9.09011242	8.016808288	8.092757141	9.438791853	3.321928095	8.417852515	9.139551352	7.434628228	8.204571144	8.942514505	3.321928095	8.651051691	7.087462841	6.14974712	6.169925001	3.321928095	8.392317423	8.087462841	6.523561956	7.918863237	8.451211112	7.768184325	7.087462841	3.321928095	3.321928095	7.46760555	3.321928095	7.894817763	3.321928095	3.321928095	10.19352536	8.816983623	8.686500527	3.321928095	3.321928095	3.321928095	9.533329732	3.321928095	7.21916852	3.321928095	3.321928095	3.321928095	9.409390936	3.321928095	3.321928095	9.079484784	10.07146236	3.321928095	3.321928095	3.321928095	7.721099189	7.400879436	3.321928095	10.19352536	8.447083226	9.379378367	3.321928095	9.049848549	8.982993575	9.082149041	3.321928095	3.321928095
